department_management.head	department_management.management	department_management.department
race_track.race	has	race_track.race.Race_ID
race_track.race	has	race_track.race.Class
race_track.track	has	race_track.track.Name
race_track.track	has	race_track.track.Year_Opened
race_track.track	has	race_track.track.Track_ID
race_track.track	has	race_track.track.Location
race_track.track	has	race_track.track.Seating
ship_1	has	*
ship_1	has	ship_1.captain
ship_1.captain	has	*
ship_1	has	ship_1.Ship
ship_1.Ship	has	*
ship_1	has	ship_1.captain_HAS_ship_1
ship_1.captain_HAS_ship_1	has	*
ship_1.captain	has	ship_1.captain.Name
ship_1.captain	has	ship_1.captain.Rank
ship_1.captain	has	ship_1.captain.Ship_ID
ship_1.captain	has	ship_1.captain.age
ship_1.captain	has	ship_1.captain.Captain_ID
ship_1.captain	has	ship_1.captain.Class
ship_1.Ship	has	ship_1.Ship.Type
ship_1.Ship	has	ship_1.Ship.Name
ship_1.Ship	has	ship_1.Ship.Built_Year
ship_1.Ship	has	ship_1.Ship.Flag
ship_1.Ship	has	ship_1.Ship.Ship_ID
ship_1.Ship	has	ship_1.Ship.Class
movie_1	has	*
movie_1	has	movie_1.Movie
movie_1.Movie	has	*
movie_1	has	movie_1.Reviewer
movie_1.Reviewer	has	*
movie_1	has	movie_1.Rating
movie_1.Rating	has	*
movie_1.Movie	has	movie_1.Movie.mID
movie_1.Movie	has	movie_1.Movie.year
movie_1.Movie	has	movie_1.Movie.title
movie_1.Movie	has	movie_1.Movie.director
movie_1.Reviewer	has	movie_1.Reviewer.name
movie_1.Reviewer	has	movie_1.Reviewer.rID
movie_1.Rating	has	movie_1.Rating.stars
movie_1.Rating	has	movie_1.Rating.mID
movie_1.Rating	has	movie_1.Rating.ratingDate
movie_1.Rating	has	movie_1.Rating.rID
wedding	has	*
wedding	has	wedding.people
wedding.people	has	*
wedding	has	wedding.church
wedding.church	has	*
wedding	has	wedding.wedding
wedding.wedding	has	*
wedding	has	wedding.wedding_HAS_wedding
wedding.wedding_HAS_wedding	has	*
wedding.people	has	wedding.people.Country
wedding.people	has	wedding.people.Age
wedding.people	has	wedding.people.Name
wedding.people	has	wedding.people.People_ID
wedding.people	has	wedding.people.Is_Male
wedding.church	has	wedding.church.Name
wedding.church	has	wedding.church.Open_Date
wedding.church	has	wedding.church.Organized_by
wedding.church	has	wedding.church.Church_ID
wedding.church	has	wedding.church.Continuation_of
wedding.wedding	has	wedding.wedding.Year
wedding.wedding	has	wedding.wedding.Female_ID
wedding.wedding	has	wedding.wedding.Male_ID
wedding.wedding	has	wedding.wedding.Church_ID
machine_repair	has	*
machine_repair	has	machine_repair.repair
machine_repair.repair	has	*
machine_repair	has	machine_repair.machine
machine_repair.machine	has	*
machine_repair	has	machine_repair.technician
machine_repair.technician	has	*
machine_repair	has	machine_repair.repair_assignment
machine_repair.repair_assignment	has	*
machine_repair	has	machine_repair.repair_assignment_HAS_machine_repair
machine_repair.repair_assignment_HAS_machine_repair	has	*
machine_repair.repair	has	machine_repair.repair.name
machine_repair.repair	has	machine_repair.repair.repair_ID
machine_repair.repair	has	machine_repair.repair.Launch_Date
machine_repair.repair	has	machine_repair.repair.Notes
machine_repair.machine	has	machine_repair.machine.Making_Year
machine_repair.machine	has	machine_repair.machine.Machine_series
machine_repair.machine	has	machine_repair.machine.Machine_ID
machine_repair.machine	has	machine_repair.machine.Team
machine_repair.machine	has	machine_repair.machine.value_points
machine_repair.machine	has	machine_repair.machine.quality_rank
machine_repair.machine	has	machine_repair.machine.Class
machine_repair.technician	has	machine_repair.technician.Age
machine_repair.technician	has	machine_repair.technician.Name
machine_repair.technician	has	machine_repair.technician.technician_id
machine_repair.technician	has	machine_repair.technician.Team
machine_repair.technician	has	machine_repair.technician.Starting_Year
machine_repair.repair_assignment	has	machine_repair.repair_assignment.repair_ID
machine_repair.repair_assignment	has	machine_repair.repair_assignment.technician_id
machine_repair.repair_assignment	has	machine_repair.repair_assignment.Machine_ID
company_1	has	*
company_1	has	company_1.works_on
company_1.works_on	has	*
company_1	has	company_1.employee
company_1.employee	has	*
company_1	has	company_1.department
company_1.department	has	*
company_1	has	company_1.project
company_1.project	has	*
company_1	has	company_1.dependent
company_1.dependent	has	*
company_1	has	company_1.dept_locations
company_1.dept_locations	has	*
company_1.works_on	has	company_1.works_on.Essn
company_1.works_on	has	company_1.works_on.Hours
company_1.works_on	has	company_1.works_on.Pno
company_1.employee	has	company_1.employee.Sex
company_1.employee	has	company_1.employee.Bdate
company_1.employee	has	company_1.employee.Fname
company_1.employee	has	company_1.employee.Dno
company_1.employee	has	company_1.employee.Lname
company_1.employee	has	company_1.employee.Super_ssn
company_1.employee	has	company_1.employee.Ssn
company_1.employee	has	company_1.employee.Salary
company_1.employee	has	company_1.employee.Minit
company_1.employee	has	company_1.employee.Address
company_1.department	has	company_1.department.Dnumber
company_1.department	has	company_1.department.Dname
company_1.department	has	company_1.department.Mgr_start_date
company_1.department	has	company_1.department.Mgr_ssn
company_1.project	has	company_1.project.Pnumber
company_1.project	has	company_1.project.Plocation
company_1.project	has	company_1.project.Pname
company_1.project	has	company_1.project.Dnum
company_1.dependent	has	company_1.dependent.Relationship
company_1.dependent	has	company_1.dependent.Sex
company_1.dependent	has	company_1.dependent.Essn
company_1.dependent	has	company_1.dependent.Bdate
company_1.dependent	has	company_1.dependent.Dependent_name
company_1.dept_locations	has	company_1.dept_locations.Dnumber
company_1.dept_locations	has	company_1.dept_locations.Dlocation
music_1	has	*
music_1	has	music_1.genre
music_1.genre	has	*
music_1	has	music_1.artist
music_1.artist	has	*
music_1	has	music_1.files
music_1.files	has	*
music_1	has	music_1.song
music_1.song	has	*
music_1	has	music_1.artist_HAS_music_1
music_1.artist_HAS_music_1	has	*
music_1	has	music_1.files_HAS_music_1
music_1.files_HAS_music_1	has	*
music_1	has	music_1.song_HAS_music_1
music_1.song_HAS_music_1	has	*
music_1.genre	has	music_1.genre.most_popular_in
music_1.genre	has	music_1.genre.g_name
music_1.genre	has	music_1.genre.rating
music_1.artist	has	music_1.artist.artist_name
music_1.artist	has	music_1.artist.preferred_genre
music_1.artist	has	music_1.artist.country
music_1.artist	has	music_1.artist.gender
music_1.files	has	music_1.files.file_size
music_1.files	has	music_1.files.f_id
music_1.files	has	music_1.files.artist_name
music_1.files	has	music_1.files.duration
music_1.files	has	music_1.files.formats
music_1.song	has	music_1.song.song_name
music_1.song	has	music_1.song.f_id
music_1.song	has	music_1.song.artist_name
music_1.song	has	music_1.song.languages
music_1.song	has	music_1.song.releasedate
music_1.song	has	music_1.song.country
music_1.song	has	music_1.song.resolution
music_1.song	has	music_1.song.rating
music_1.song	has	music_1.song.genre_is
candidate_poll	has	*
candidate_poll	has	candidate_poll.candidate
candidate_poll.candidate	has	*
candidate_poll	has	candidate_poll.people
candidate_poll.people	has	*
candidate_poll	has	candidate_poll.candidate_HAS_candidate_poll
candidate_poll.candidate_HAS_candidate_poll	has	*
candidate_poll.candidate	has	candidate_poll.candidate.Date
candidate_poll.candidate	has	candidate_poll.candidate.Unsure_rate
candidate_poll.candidate	has	candidate_poll.candidate.Support_rate
candidate_poll.candidate	has	candidate_poll.candidate.People_ID
candidate_poll.candidate	has	candidate_poll.candidate.Candidate_ID
candidate_poll.candidate	has	candidate_poll.candidate.Oppose_rate
candidate_poll.candidate	has	candidate_poll.candidate.Poll_Source
candidate_poll.candidate	has	candidate_poll.candidate.Consider_rate
candidate_poll.people	has	candidate_poll.people.Name
candidate_poll.people	has	candidate_poll.people.Date_of_Birth
candidate_poll.people	has	candidate_poll.people.Weight
candidate_poll.people	has	candidate_poll.people.People_ID
candidate_poll.people	has	candidate_poll.people.Sex
candidate_poll.people	has	candidate_poll.people.Height
network_2	has	*
network_2	has	network_2.Person
network_2.Person	has	*
network_2	has	network_2.PersonFriend
network_2.PersonFriend	has	*
network_2.Person	has	network_2.Person.name
network_2.Person	has	network_2.Person.city
network_2.Person	has	network_2.Person.job
network_2.Person	has	network_2.Person.age
network_2.Person	has	network_2.Person.gender
network_2.PersonFriend	has	network_2.PersonFriend.name
network_2.PersonFriend	has	network_2.PersonFriend.year
network_2.PersonFriend	has	network_2.PersonFriend.friend
book_2	has	*
book_2	has	book_2.publication
book_2.publication	has	*
book_2	has	book_2.book
book_2.book	has	*
book_2	has	book_2.publication_HAS_book_2
book_2.publication_HAS_book_2	has	*
book_2.publication	has	book_2.publication.Publication_ID
book_2.publication	has	book_2.publication.Book_ID
book_2.publication	has	book_2.publication.Price
book_2.publication	has	book_2.publication.Publication_Date
book_2.publication	has	book_2.publication.Publisher
book_2.book	has	book_2.book.Writer
book_2.book	has	book_2.book.Book_ID
book_2.book	has	book_2.book.Title
book_2.book	has	book_2.book.Issues
department_management	has	*
department_management	has	department_management.department
department_management.department	has	*
department_management	has	department_management.head
department_management.head	has	*
department_management	has	department_management.management
department_management.management	has	*
department_management.department	has	department_management.department.Name
department_management.department	has	department_management.department.Department_ID
department_management.department	has	department_management.department.Ranking
department_management.department	has	department_management.department.Budget_in_Billions
department_management.department	has	department_management.department.Num_Employees
department_management.department	has	department_management.department.Creation
department_management.head	has	department_management.head.name
department_management.head	has	department_management.head.head_ID
department_management.head	has	department_management.head.age
department_management.head	has	department_management.head.born_state
department_management.management	has	department_management.management.head_ID
department_management.management	has	department_management.management.department_ID
department_management.management	has	department_management.management.temporary_acting
apartment_rentals	has	*
apartment_rentals	has	apartment_rentals.Apartment_Buildings
apartment_rentals.Apartment_Buildings	has	*
apartment_rentals	has	apartment_rentals.Apartments
apartment_rentals.Apartments	has	*
apartment_rentals	has	apartment_rentals.Apartment_Facilities
apartment_rentals.Apartment_Facilities	has	*
apartment_rentals	has	apartment_rentals.Guests
apartment_rentals.Guests	has	*
apartment_rentals	has	apartment_rentals.Apartment_Bookings
apartment_rentals.Apartment_Bookings	has	*
apartment_rentals	has	apartment_rentals.View_Unit_Status
apartment_rentals.View_Unit_Status	has	*
apartment_rentals	has	apartment_rentals.apartments_HAS_apartment_rentals
apartment_rentals.apartments_HAS_apartment_rentals	has	*
apartment_rentals	has	apartment_rentals.apartment_facilities_HAS_apartment_rentals
apartment_rentals.apartment_facilities_HAS_apartment_rentals	has	*
apartment_rentals	has	apartment_rentals.apartment_bookings_HAS_apartment_rentals
apartment_rentals.apartment_bookings_HAS_apartment_rentals	has	*
apartment_rentals	has	apartment_rentals.view_unit_status_HAS_apartment_rentals
apartment_rentals.view_unit_status_HAS_apartment_rentals	has	*
apartment_rentals.Apartment_Buildings	has	apartment_rentals.Apartment_Buildings.building_manager
apartment_rentals.Apartment_Buildings	has	apartment_rentals.Apartment_Buildings.building_full_name
apartment_rentals.Apartment_Buildings	has	apartment_rentals.Apartment_Buildings.building_short_name
apartment_rentals.Apartment_Buildings	has	apartment_rentals.Apartment_Buildings.building_phone
apartment_rentals.Apartment_Buildings	has	apartment_rentals.Apartment_Buildings.building_description
apartment_rentals.Apartment_Buildings	has	apartment_rentals.Apartment_Buildings.building_id
apartment_rentals.Apartment_Buildings	has	apartment_rentals.Apartment_Buildings.building_address
apartment_rentals.Apartments	has	apartment_rentals.Apartments.room_count
apartment_rentals.Apartments	has	apartment_rentals.Apartments.apt_id
apartment_rentals.Apartments	has	apartment_rentals.Apartments.bathroom_count
apartment_rentals.Apartments	has	apartment_rentals.Apartments.apt_number
apartment_rentals.Apartments	has	apartment_rentals.Apartments.apt_type_code
apartment_rentals.Apartments	has	apartment_rentals.Apartments.bedroom_count
apartment_rentals.Apartments	has	apartment_rentals.Apartments.building_id
apartment_rentals.Apartment_Facilities	has	apartment_rentals.Apartment_Facilities.facility_code
apartment_rentals.Apartment_Facilities	has	apartment_rentals.Apartment_Facilities.apt_id
apartment_rentals.Guests	has	apartment_rentals.Guests.guest_id
apartment_rentals.Guests	has	apartment_rentals.Guests.guest_first_name
apartment_rentals.Guests	has	apartment_rentals.Guests.guest_last_name
apartment_rentals.Guests	has	apartment_rentals.Guests.gender_code
apartment_rentals.Guests	has	apartment_rentals.Guests.date_of_birth
apartment_rentals.Apartment_Bookings	has	apartment_rentals.Apartment_Bookings.guest_id
apartment_rentals.Apartment_Bookings	has	apartment_rentals.Apartment_Bookings.booking_status_code
apartment_rentals.Apartment_Bookings	has	apartment_rentals.Apartment_Bookings.apt_booking_id
apartment_rentals.Apartment_Bookings	has	apartment_rentals.Apartment_Bookings.booking_end_date
apartment_rentals.Apartment_Bookings	has	apartment_rentals.Apartment_Bookings.apt_id
apartment_rentals.Apartment_Bookings	has	apartment_rentals.Apartment_Bookings.booking_start_date
apartment_rentals.View_Unit_Status	has	apartment_rentals.View_Unit_Status.apt_booking_id
apartment_rentals.View_Unit_Status	has	apartment_rentals.View_Unit_Status.apt_id
